iter	Passed	Remaining
0	145	14404
1	145	7153
2	146	4735
3	146	3523
4	147	2797
5	147	2313
6	148	1967
7	148	1708
8	148	1506
9	149	1344
10	149	1212
11	150	1101
12	150	1007
13	151	927
14	151	858
15	151	797
16	152	743
17	152	695
18	153	652
19	153	613
20	153	578
21	154	547
22	154	517
23	155	491
24	155	466
25	155	443
26	156	422
27	156	403
28	157	384
29	157	367
30	158	351
31	158	336
32	158	322
33	159	309
34	159	296
35	160	284
36	160	273
37	161	262
38	161	252
39	161	242
40	162	233
41	162	224
42	162	215
43	163	207
44	163	200
45	164	192
46	164	185
47	164	178
48	165	172
49	165	165
50	166	159
51	166	153
52	166	148
53	167	142
54	167	137
55	168	132
56	168	127
57	168	122
58	169	117
59	169	113
60	170	108
61	170	104
62	170	100
63	171	96
64	171	92
65	172	88
66	172	85
67	173	81
68	173	77
69	174	74
70	174	71
71	174	68
72	175	64
73	175	61
74	176	58
75	176	55
76	177	52
77	177	50
78	177	47
79	178	44
80	178	41
81	179	39
82	179	36
83	179	34
84	180	31
85	180	29
86	181	27
87	181	24
88	182	22
89	182	20
90	182	18
91	183	15
92	183	13
93	184	11
94	184	9
95	184	7
96	185	5
97	185	3
98	186	1
99	186	0
